epoch 0 | iter 0         | loss 7160.
epoch 0 | iter 50        | loss 4490.
epoch 0 | iter 100       | loss 4227.
epoch 0 | iter 150       | loss 3565.
epoch 0 | iter 200       | loss 3745.
epoch 0 | iter 250       | loss 3509.
epoch 0 | iter 300       | loss 3203.
epoch 0 | iter 350       | loss 3479.
epoch 0 | iter 400       | loss 3523.
epoch 0 | iter 450       | loss 3527.
epoch 1 | iter 0         | loss 3208.
epoch 1 | iter 50        | loss 3063.
epoch 1 | iter 100       | loss 3143.
epoch 1 | iter 150       | loss 3004.
epoch 1 | iter 200       | loss 3116.
epoch 1 | iter 250       | loss 2797.
epoch 1 | iter 300       | loss 2951.
epoch 1 | iter 350       | loss 2921.
epoch 1 | iter 400       | loss 2860.
epoch 1 | iter 450       | loss 2939.
epoch 2 | iter 0         | loss 2886.
epoch 2 | iter 50        | loss 2960.
epoch 2 | iter 100       | loss 3081.
epoch 2 | iter 150       | loss 3027.
epoch 2 | iter 200       | loss 2720.
epoch 2 | iter 250       | loss 2862.
epoch 2 | iter 300       | loss 2866.
epoch 2 | iter 350       | loss 2854.
epoch 2 | iter 400       | loss 2857.
epoch 2 | iter 450       | loss 2768.
epoch 3 | iter 0         | loss 2830.
epoch 3 | iter 50        | loss 2944.
epoch 3 | iter 100       | loss 2876.
epoch 3 | iter 150       | loss 2647.
epoch 3 | iter 200       | loss 2870.
epoch 3 | iter 250       | loss 2728.
epoch 3 | iter 300       | loss 2909.
epoch 3 | iter 350       | loss 2842.
epoch 3 | iter 400       | loss 2954.
epoch 3 | iter 450       | loss 2713.
epoch 4 | iter 0         | loss 2808.
epoch 4 | iter 50        | loss 2747.
epoch 4 | iter 100       | loss 2689.
epoch 4 | iter 150       | loss 2702.
epoch 4 | iter 200       | loss 2702.
epoch 4 | iter 250       | loss 2588.
epoch 4 | iter 300       | loss 2871.
epoch 4 | iter 350       | loss 2552.
epoch 4 | iter 400       | loss 2742.
epoch 4 | iter 450       | loss 2655.
epoch 5 | iter 0         | loss 2621.
epoch 5 | iter 50        | loss 2624.
epoch 5 | iter 100       | loss 2679.
epoch 5 | iter 150       | loss 2610.
epoch 5 | iter 200       | loss 2837.
epoch 5 | iter 250       | loss 2441.
epoch 5 | iter 300       | loss 2603.
epoch 5 | iter 350       | loss 2515.
epoch 5 | iter 400       | loss 2633.
epoch 5 | iter 450       | loss 2627.
epoch 6 | iter 0         | loss 2557.
epoch 6 | iter 50        | loss 2524.
epoch 6 | iter 100       | loss 2889.
epoch 6 | iter 150       | loss 2692.
epoch 6 | iter 200       | loss 2633.
