epoch 20 | iter 0        | loss 2999.
epoch 20 | iter 50       | loss 3288.
epoch 20 | iter 100      | loss 2963.
epoch 20 | iter 150      | loss 2922.
epoch 20 | iter 200      | loss 2859.
epoch 20 | iter 250      | loss 2881.
epoch 20 | iter 300      | loss 2845.
epoch 20 | iter 350      | loss 2858.
epoch 21 | iter 0        | loss 3069.
epoch 21 | iter 50       | loss 3007.
epoch 21 | iter 100      | loss 2817.
epoch 21 | iter 150      | loss 2896.
epoch 21 | iter 200      | loss 3080.
epoch 21 | iter 250      | loss 2962.
epoch 21 | iter 300      | loss 2805.
epoch 21 | iter 350      | loss 3090.
epoch 22 | iter 0        | loss 3382.
epoch 22 | iter 50       | loss 3220.
epoch 22 | iter 100      | loss 3039.
epoch 22 | iter 150      | loss 3002.
epoch 22 | iter 200      | loss 3320.
epoch 22 | iter 250      | loss 3176.
epoch 22 | iter 300      | loss 3222.
epoch 22 | iter 350      | loss 3418.
epoch 23 | iter 0        | loss 3293.
epoch 23 | iter 50       | loss 3199.
epoch 23 | iter 100      | loss 3227.
epoch 23 | iter 150      | loss 3271.
epoch 23 | iter 200      | loss 3309.
epoch 23 | iter 250      | loss 3364.
epoch 23 | iter 300      | loss 3302.
epoch 23 | iter 350      | loss 3276.
epoch 24 | iter 0        | loss 3499.
epoch 24 | iter 50       | loss 3442.
epoch 24 | iter 100      | loss 3410.
epoch 24 | iter 150      | loss 3533.
epoch 24 | iter 200      | loss 3771.
epoch 24 | iter 250      | loss 3572.
epoch 24 | iter 300      | loss 3506.
epoch 24 | iter 350      | loss 3391.
epoch 25 | iter 0        | loss 3725.
epoch 25 | iter 50       | loss 3807.
epoch 25 | iter 100      | loss 3432.
epoch 25 | iter 150      | loss 3710.
epoch 25 | iter 200      | loss 3572.
epoch 25 | iter 250      | loss 3613.
epoch 25 | iter 300      | loss 3530.
epoch 25 | iter 350      | loss 3815.
epoch 26 | iter 0        | loss 3643.
epoch 26 | iter 50       | loss 3612.
epoch 26 | iter 100      | loss 3644.
epoch 26 | iter 150      | loss 3845.
epoch 26 | iter 200      | loss 3581.
epoch 26 | iter 250      | loss 3779.
epoch 26 | iter 300      | loss 3696.
epoch 26 | iter 350      | loss 3872.
epoch 27 | iter 0        | loss 4092.
epoch 27 | iter 50       | loss 3914.
epoch 27 | iter 100      | loss 3812.
epoch 27 | iter 150      | loss 4006.
epoch 27 | iter 200      | loss 4125.
epoch 27 | iter 250      | loss 3849.
epoch 27 | iter 300      | loss 3975.
epoch 27 | iter 350      | loss 3842.
epoch 28 | iter 0        | loss 4515.
epoch 28 | iter 50       | loss 4037.
epoch 28 | iter 100      | loss 4238.
epoch 28 | iter 150      | loss 4095.
epoch 28 | iter 200      | loss 4229.
epoch 28 | iter 250      | loss 4075.
epoch 28 | iter 300      | loss 4107.
epoch 28 | iter 350      | loss 4081.
epoch 29 | iter 0        | loss 4456.
epoch 29 | iter 50       | loss 4326.
epoch 29 | iter 100      | loss 4243.
epoch 29 | iter 150      | loss 4555.
epoch 29 | iter 200      | loss 4226.
epoch 29 | iter 250      | loss 4145.
epoch 29 | iter 300      | loss 4371.
epoch 29 | iter 350      | loss 4463.
epoch 30 | iter 0        | loss 4233.
epoch 30 | iter 50       | loss 4392.
epoch 30 | iter 100      | loss 4617.
epoch 30 | iter 150      | loss 4858.
epoch 30 | iter 200      | loss 4274.
epoch 30 | iter 250      | loss 4718.
epoch 30 | iter 300      | loss 4798.
epoch 30 | iter 350      | loss 4147.
epoch 31 | iter 0        | loss 4841.
epoch 31 | iter 50       | loss 4708.
epoch 31 | iter 100      | loss 4979.
epoch 31 | iter 150      | loss 4623.
epoch 31 | iter 200      | loss 4868.
epoch 31 | iter 250      | loss 4581.
epoch 31 | iter 300      | loss 4384.
epoch 31 | iter 350      | loss 4332.
epoch 32 | iter 0        | loss 4730.
epoch 32 | iter 50       | loss 4991.
epoch 32 | iter 100      | loss 4615.
epoch 32 | iter 150      | loss 4862.
epoch 32 | iter 200      | loss 5075.
epoch 32 | iter 250      | loss 4749.
epoch 32 | iter 300      | loss 5140.
epoch 32 | iter 350      | loss 4739.
epoch 33 | iter 0        | loss 5022.
epoch 33 | iter 50       | loss 4870.
epoch 33 | iter 100      | loss 4969.
epoch 33 | iter 150      | loss 5032.
epoch 33 | iter 200      | loss 5209.
epoch 33 | iter 250      | loss 4883.
epoch 33 | iter 300      | loss 4868.
epoch 33 | iter 350      | loss 5185.
epoch 34 | iter 0        | loss 5241.
epoch 34 | iter 50       | loss 5476.
epoch 34 | iter 100      | loss 4972.
epoch 34 | iter 150      | loss 4971.
epoch 34 | iter 200      | loss 5263.
epoch 34 | iter 250      | loss 5073.
epoch 34 | iter 300      | loss 4862.
epoch 34 | iter 350      | loss 5425.
epoch 35 | iter 0        | loss 5235.
epoch 35 | iter 50       | loss 5335.
epoch 35 | iter 100      | loss 5207.
epoch 35 | iter 150      | loss 5274.
epoch 35 | iter 200      | loss 4842.
epoch 35 | iter 250      | loss 5064.
epoch 35 | iter 300      | loss 5176.
epoch 35 | iter 350      | loss 5296.
epoch 36 | iter 0        | loss 5307.
epoch 36 | iter 50       | loss 5397.
epoch 36 | iter 100      | loss 5469.
epoch 36 | iter 150      | loss 5518.
epoch 36 | iter 200      | loss 5450.
epoch 36 | iter 250      | loss 5745.
epoch 36 | iter 300      | loss 5547.
epoch 36 | iter 350      | loss 5639.
epoch 37 | iter 0        | loss 5503.
epoch 37 | iter 50       | loss 5554.
epoch 37 | iter 100      | loss 5627.
epoch 37 | iter 150      | loss 5705.
epoch 37 | iter 200      | loss 5603.
epoch 37 | iter 250      | loss 5813.
epoch 37 | iter 300      | loss 5790.
epoch 37 | iter 350      | loss 5683.
epoch 38 | iter 0        | loss 5777.
epoch 38 | iter 50       | loss 5756.
epoch 38 | iter 100      | loss 5698.
epoch 38 | iter 150      | loss 5863.
