epoch 32 | iter 0        | loss 5374.
epoch 32 | iter 50       | loss 4903.
epoch 32 | iter 100      | loss 5565.
epoch 32 | iter 150      | loss 5141.
epoch 32 | iter 200      | loss 5109.
epoch 33 | iter 0        | loss 5161.
epoch 33 | iter 50       | loss 5008.
epoch 33 | iter 100      | loss 5199.
epoch 33 | iter 150      | loss 5331.
epoch 33 | iter 200      | loss 5302.
epoch 34 | iter 0        | loss 5580.
epoch 34 | iter 50       | loss 4940.
epoch 34 | iter 100      | loss 4994.
epoch 34 | iter 150      | loss 5388.
epoch 34 | iter 200      | loss 5338.
epoch 35 | iter 0        | loss 5689.
epoch 35 | iter 50       | loss 5668.
